id,app,category,description,auth,access,access_detail,surface,verdict,blocker,note,sources,mcp_kind,mcp_scope,mcp_url
70,Sentry,Developer & Infra,Application error and performance monitoring,OAuth2; Token,Account check,Create scoped auth token or OAuth integration; organization membership and plan features apply.,"REST; issues, projects, releases and events",Conditional,Plan check,Separate the ingest DSN from a management API auth token.,https://docs.sentry.io/api/auth/; https://docs.sentry.io/api/guides/create-auth-token/; https://docs.sentry.io/api/,Official,"OAuth-scoped errors, performance, issue triage and project tools",https://mcp.sentry.dev/
71,Notion,Productivity,"Documents, databases and team knowledge",OAuth2; Token,Account check,Integration token or OAuth; user grants access to specific workspace content.,"REST; pages, blocks, data sources and search",Conditional,Plan check,Access is limited to shared resources; MCP user authorization does not imply workspace-wide access.,https://developers.notion.com; https://www.notion.com/help/notion-mcp,Official,User-authorized Notion content,https://www.notion.com/help/notion-mcp
72,Airtable,Productivity,Collaborative databases and workflows,OAuth2; Token,Free,Web API available on Free and paid plans; scopes and base permissions apply.,"REST; records, bases, metadata and webhooks",Build,None,Use PATs/OAuth rather than retired legacy API keys; free plans retain request limits.,https://support.airtable.com/articles/6292134965-getting-started-with-airtable-s-web-api; https://support.airtable.com/articles/9934989703-creating-personal-access-tokens,Official,Authorized Airtable bases/resources,https://support.airtable.com/articles/9897799762-using-the-airtable-mcp-server
73,Linear,Productivity,Issue tracking and product planning,OAuth2; API key,Free,Free plan plus always-available admin API keys establish a scoped prototype path; Free workspace members are admins.,"GraphQL; issues, projects, teams and cycles",Build,None,"API access inferred by combining pricing, Free-plan roles and API key policy; production workspace controls remain.",https://linear.app/developers/graphql; https://linear.app/developers/oauth-2-0-authentication; https://linear.app/pricing; https://linear.app/docs/api-and-webhooks; https://linear.app/docs/invite-members,Official,Linear issues and workspace actions,https://linear.app/docs/mcp
74,Jira,Productivity,Issue tracking and project workflows,OAuth2; API key; Basic,Account check,Cloud account/API token or OAuth app; project permissions and organization policy govern access.,"REST; issues, projects, boards and workflow resources",Conditional,Admin,Scope explicitly to Jira Cloud; Data Center has different authentication and deployment requirements.,https://developer.atlassian.com/cloud/jira/service-desk/basic-auth-for-rest-apis/; https://developer.atlassian.com/cloud/jira/platform/rest/v2/intro/,Official,"Rovo MCP with Jira work-item search and updates; OAuth 2.1, permissions and credit limits",https://developer.atlassian.com/cloud/rovo-mcp/guides/getting-started/
75,Asana,Productivity,Team tasks and work management,OAuth2; Token,Free,Free account or developer sandbox; PAT for initial API calls; paid resource entitlements remain separate.,"REST; tasks, projects, workspaces and portfolios",Build,None,PATs inherit the user permissions; official MCP uses an OAuth application.,https://developers.asana.com/docs/authentication; https://developers.asana.com/docs/personal-access-token; https://developers.asana.com/docs/overview,Official,Asana work resources through OAuth,https://developers.asana.com/docs/integrating-with-asanas-mcp-server
76,Monday.com,Productivity,Work-management boards and automations,OAuth2; Token,Sandbox,Free developer account for isolated API/app testing; production plan limits remain separate.,"GraphQL; boards, items, columns and workspace operations",Build,None,Treat API complexity budgets separately from HTTP request counts.,https://developer.monday.com/apps/docs/choosing-auth; https://developer.monday.com/api-reference/docs/build-on-monday-with-ai; https://developer.monday.com/api-reference/docs/developer-sandbox-account,Official,GraphQL tools and separate app-development mode,https://developer.monday.com/api-reference/docs/integrate-with-monday-mcp
77,ClickUp,Productivity,"Tasks, documents and project management",OAuth2; Token,Free,MCP supports Free Forever with 50 calls per 24 hours; REST uses its own rate limits.,"REST; tasks, lists, spaces, comments and time tracking",Build,None,Available credentials do not establish unlimited rates or entitlement to every feature.,https://developer.clickup.com/docs/authentication; https://developer.clickup.com/docs/Getting%20Started; https://developer.clickup.com/docs/connect-an-ai-assistant-to-clickups-mcp-server,Official,Workspace tools; Free Forever has 50 daily calls,https://developer.clickup.com/docs/connect-an-ai-assistant-to-clickups-mcp-server
78,Coda,Productivity,Documents with structured tables and workflows,Token,Free,"API doc-size limits explicitly apply across all plan types, including Free; generate an account token.","REST; docs, tables, rows, formulas and controls",Build,None,Free document API route is inferred from all-plan API limits and token docs; oversized documents and admin-only APIs are separate constraints.,https://coda.io/developers/apis/v1; https://help.coda.io/hc/en-us/articles/39555760015757-Overview-Doc-limits,,,
79,Smartsheet,Productivity,Spreadsheet-style project and work management,OAuth2; Token,Paid,API restricted to Business and Enterprise plans.,"REST; sheets, rows, attachments, reports and automation",Conditional,Subscription,Confirm paid-tier entitlement before scheduling implementation; a basic account is insufficient.,https://developers.smartsheet.com/api/smartsheet/openapi/proofs/proofs-create,Official,"Sheets, rows, workflow and portfolio tools; Business/Enterprise/Advanced Work Management required",https://developers.smartsheet.com/ai-mcp/smartsheet/mcp-server
80,Harvest,Productivity,Time tracking and project invoicing,OAuth2; Token,Free,"API access included for all accounts, including free and trial; send account ID with token.","REST; time entries, projects, clients and invoices",Build,None,API v2 replaced legacy Basic auth with OAuth/PATs; include account context.,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/; https://help.getharvest.com/api-v2/introduction/overview/general/; https://support.getharvest.com/hc/en-us/articles/360048180732-The-Harvest-API,,,
81,Stripe,Finance & Fintech,"Payments, subscriptions and billing infrastructure",API key; OAuth2,Sandbox,Test keys/sandboxes support development; live payments require activation and business eligibility.,"REST; payments, customers, billing and refunds",Build,Production entitlement,Use restricted test keys and separate read tools from financial mutations.,https://docs.stripe.com/api/authentication?api-version=2025-08-27.basil; https://docs.stripe.com/testing?numbers-or-method-or-token=tokens,Official,"Customers, products and payment-related tools",https://github.com/mcp/com.stripe/mcp
82,Plaid,Finance & Fintech,Bank-account connectivity and financial data,API key; Token,Sandbox,Self-serve Sandbox keys; production approval and product access are separate.,"HTTP API; accounts, transactions, identity and payment-related products",Build,Production entitlement,Plaid's bank OAuth is not the same as developer API authentication with client_id/secret.,https://plaid.com/docs/sandbox/; https://plaid.com/docs/quickstart/; https://plaid.com/docs/api/,Official; partial,Dashboard developer tools; not blanket bank-data access,https://plaid.com/docs/resources/mcp/
83,Binance,Finance & Fintech,Cryptocurrency market and account services,API key; Signature,Account check,Public market data needs no key; private operations require signed keys and account/regional eligibility.,REST + WebSocket; market data and trading/account operations,Conditional,Production entitlement,Separate unsigned read-only market data from signed private operations; do not perform transactions during evaluation.,https://developers.binance.com/en/docs/products/spot/rest-api,,,
84,Paygent Connect,Finance & Fintech,Payment integration named in assignment; identity unresolved,Unknown,Unresolved,Assignment gives no vendor URL; could not establish an unambiguous Paygent Connect product.,Unresolved; do not substitute generic NMI documentation,Investigate,Identity,"Request the exact vendor URL and API contact. NMI-powered is a hint, not evidence of Paygent's auth or access.",,,,
85,iPayX,Finance & Fintech,FX audit and payment-evidence service,API key; Token,Free,MCP docs offer 10 free audits/day and dashboard API keys; free REST entitlement remains unclear.,REST/OpenAPI; FX evidence and audit workflow; signed webhooks,Conditional,Conflicting docs,Browser found conflicting REST base URLs and schemas; separate MCP docs explicitly document a free tier and test/live keys. Conditional until contract is reconciled.,https://www.ipayx.ai/docs/api; https://www.ipayx.ai/developers/sandbox; https://www.ipayx.ai/developers; https://www.ipayx.ai/docs/mcp-server,Official,Free MCP: 10 FX audits/day; paid forensic report. Contract inconsistencies across REST pages remain.,https://www.ipayx.ai/docs/mcp-server
86,QuickBooks,Finance & Fintech,Small-business accounting,OAuth2,Sandbox,Developer sandbox provided; production credentials and app assessment are a separate path.,"REST; accounting entities, invoices, payments and reports",Build,Approval,"Use the Accounting API, not QuickBooks Payments documentation, for bookkeeping use cases.",https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/journalentry; https://static.developer.intuit.com/resources/Intuit_App_Partner_Program_Guide.pdf,,,
87,Xero,Finance & Fintech,Cloud accounting and business finance,OAuth2,Free,Free developer account and starter path; connection/data-volume tiers govern scaling.,"REST; accounting, invoices, contacts and reports",Build,Production entitlement,"No basic API-key auth; 2026 developer pricing changed, so validate connection and egress limits.",https://developer.xero.com/faq/getting-started; https://developer.xero.com/documentation/getting-started-guide/; https://developer.xero.com/pricing,,,
88,Brex,Finance & Fintech,"Corporate cards, spending and financial operations",OAuth2; Token,Account check,Customer user token or partner OAuth; account eligibility and partner enablement need confirmation.,"REST; spend, expenses, payments and company operations",Conditional,Customer access,User tokens may expire after inactivity; use partner OAuth for multi-customer access.,https://developer.brex.com/docs/faq; https://developer.brex.com/guides/partner_authentication,Official,Role-controlled Brex account data,https://www.brex.com/support/using-brex-in-ai-apps
89,Ramp,Finance & Fintech,Corporate spend and expense management,OAuth2; Token,Sandbox,Documented sandbox; production capabilities can require developer access review.,"REST; users, transactions, expenses, cards and accounting",Build,Approval,Developer MCP is documentation-only; distinguish it from Ramp's account-data MCP.,https://docs.ramp.com/developer-api/v1/api/users; https://docs.ramp.com/developer-api/v1/virtual-cards; https://docs.ramp.com/developer-api/v1/developer-mcp,Official,Account MCP distinct from unauthenticated developer-docs MCP,https://support.ramp.com/ramp-mcp
90,PitchBook,Finance & Fintech,Private-market company and investment intelligence,Unknown,Approval,Commercial API product marketed through sales; exact auth and license terms not publicly established here.,Data API advertised; endpoint breadth and auth unresolved,Investigate,Commercial access,Do not infer full API licensing from the separate limited Essential Connector.,https://pitchbook.com/products/direct-access-data/api; https://pitchbook.com/data,,,
91,NotebookLM,AI & Media,Source-grounded notebooks and research summaries,OAuth2; Token,Admin / paid,"Enterprise Google Cloud project, enabled API, IAM roles and product entitlement required.",REST enterprise notebook/source management; consumer API not assumed,Conditional,Admin,The enterprise API is real; a blanket no-API verdict for all NotebookLM editions would be wrong.,https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/set-up-notebooklm; https://docs.cloud.google.com/gemini/enterprise/notebooklm-enterprise/docs/api-notebooks,,,
92,Otter AI,AI & Media,Meeting transcription and summaries,API key; OAuth2,Paid,Public API is available to Enterprise workspaces; MCP availability follows a separate account/plan path.,Public API plus MCP; meeting/transcript access,Conditional,Subscription,Do not recycle older no-public-API claims or assume MCP and REST share the same entitlement.,https://help.otter.ai/hc/en-us/articles/36130822688279-Otter-ai-Public-API; https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,Official,OAuth meeting access; API and MCP entitlements differ,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server
93,Fathom,AI & Media,AI meeting recording and summaries,API key; OAuth2,Account check,Developer guide supports API keys and public OAuth apps; plan entitlement requires verification.,"REST; meetings, summaries, transcripts and webhooks",Conditional,Plan check,"Fathom meeting product, not the unrelated Fathom Analytics API.",https://developers.fathom.ai/index,,,
94,Consensus,AI & Media,Evidence-based scientific literature search,OAuth2; API key,Free,Self-serve keys on every plan; Free includes 30 shared API/MCP calls monthly. API keys use x-api-key.,REST search + MCP; scholarly search and evidence,Build,None,Use current docs; API and MCP share quotas. Enterprise also supports bearer keys; no broad paid-only API gate.,https://docs.consensus.app/api-plans-and-access; https://docs.consensus.app/consensus-mcp,Official,Scientific search; OAuth or enterprise bearer key,https://docs.consensus.app/consensus-mcp
95,Reducto,AI & Media,Document parsing and structured extraction,API key,Account check,Self-managed API key in Studio; current free allowance not confirmed.,"REST/OpenAPI; parse, extract, split and document workflows",Conditional,Plan check,Hosted MCP uses bearer API key; parsing quality and per-page cost need task-specific evaluation.,https://reducto.ai/developers; https://github.com/reductoai/mcp-server-reducto,Official,Document processing via hosted server or local wrapper,https://github.com/reductoai/mcp-server-reducto
96,Devin,AI & Media,Autonomous coding-agent sessions,API key; Token,Account check,Account/API credential required; current plan and usage entitlement need confirmation.,REST + MCP; sessions and agent execution,Conditional,Plan check,New cog_ credentials support MCP; legacy apk_ keys do not. Restrict execution scope and cost.,https://docs.devin.ai/es/api-reference/authentication,Official,New cog_ credentials; legacy API keys unsupported for MCP,https://docs.devin.ai/es/api-reference/authentication
97,higgsfield,AI & Media,AI image/video generation and creative workflows,OAuth2; Token,Paid,CLI/skills use account sign-in and plan credits; website free/unlimited generations do not transfer.,CLI + MCP; creative generation and assets; broad REST contract not established,Conditional,Subscription,No separate API key required for the documented CLI/MCP flow; charge against account credits.,https://higgsfield.ai/creator-hub/help-center/integrations/how-do-i-access-higgsfield-via-cli; https://higgsfield.ai/creator-hub/help-center/integrations/what-is-higgsfield-mcp,Official,Creative generation using account credits,https://higgsfield.ai/creator-hub/help-center/integrations/what-is-higgsfield-mcp
98,Mermaid CLI,AI & Media,Render Mermaid text into diagrams,None,Local,Open-source local CLI; Node/browser runtime required; no account credentials.,"CLI; diagrams to SVG, PNG or PDF, not a hosted REST service",Build,Runtime,An agent-callable subprocess tool is sufficient; a native MCP server is not necessary.,https://github.com/mermaid-js/mermaid-cli,,,
99,YouTube Transcript,AI & Media,YouTube transcripts and discovery through TranscriptAPI,API key; OAuth2,Account check,API/MCP key and active plan; trial and zero-credit endpoint eligibility should be checked separately.,"REST + MCP; transcripts, videos, channels, search and playlists",Conditional,Subscription,"This is TranscriptAPI, a third-party service, not a Google YouTube transcript endpoint.",https://transcriptapi.com/docs/mcp/; https://transcriptapi.com/blog/youtube-api-expansion-2026-09-17; https://transcriptapi.com/,Official (TranscriptAPI),Third-party YouTube transcript/discovery tools,https://transcriptapi.com/docs/mcp/
100,Grain,AI & Media,"Meeting recordings, notes and insights",Token; OAuth2,Trial,Business trial includes personal/workspace API and advanced MCP; paid-plan features vary.,"REST + MCP; recordings, transcripts, notes and workspace data",Build,Subscription,Distinguish basic/advanced MCP and API plan entitlement; source meeting permissions still apply.,https://support.grain.com/en/articles/9253206-grain-business-trial; https://support.grain.com/en/articles/9253220-plans; https://developers.grain.com/mcp,Official,Meeting data; basic/advanced access depends on plan,https://developers.grain.com/mcp
